Datum;BundeslandID;Name;TestungenApotheken;TestungenApothekenPCR;TestungenApothekenAntigen;TestungenBetriebe
2021-06-02;2;Kärnten;344329;;344329;153710
2021-06-02;3;Niederösterreich;769823;;769823;897628
2021-06-02;4;Oberösterreich;635108;;635108;555455
2021-06-02;5;Salzburg;442505;;442505;190365
2021-06-02;6;Steiermark;1036681;;1036681;740903
2021-06-02;7;Tirol;544398;;544398;133239
2021-06-02;8;Vorarlberg;505677;;505677;110507
2021-06-02;9;Wien;2034204;;2034204;688549
2021-06-02;10;Österreich;6729502;;6729502;3754011
2021-06-03;1;Burgenland;425788;;425788;289495
2021-06-03;2;Kärnten;355094;;355094;158611
2021-06-03;3;Niederösterreich;789809;;789809;916841
2021-06-03;4;Oberösterreich;649421;;649421;566746
2021-06-03;5;Salzburg;451909;;451909;198189
2021-06-03;6;Steiermark;1065807;;1065807;758845
2021-06-03;7;Tirol;558401;;558401;136793
2021-06-03;8;Vorarlberg;515081;;515081;112442
2021-06-03;9;Wien;2094850;;2094850;704035
2021-06-03;10;Österreich;6906160;;6906160;3841997
2021-06-04;1;Burgenland;427438;;427438;290210
2021-06-04;2;Kärnten;356052;;356052;159427
2021-06-04;3;Niederösterreich;791853;;791853;919855
2021-06-04;4;Oberösterreich;650275;;650275;567832
2021-06-04;5;Salzburg;452246;;452246;198582
2021-06-04;6;Steiermark;1067023;;1067023;761394
2021-06-04;7;Tirol;559284;;559284;138173
2021-06-04;8;Vorarlberg;520315;;520315;113133
2021-06-04;9;Wien;2100197;;2100197;705270
2021-06-04;10;Österreich;6924683;;6924683;3853876
2021-06-05;1;Burgenland;437093;;437093;293787
2021-06-05;2;Kärnten;365215;;365215;163215
2021-06-05;3;Niederösterreich;813928;;813928;932634
2021-06-05;4;Oberösterreich;662415;;662415;573422
2021-06-05;5;Salzburg;459512;;459512;200882
2021-06-05;6;Steiermark;1094126;;1094126;766967
2021-06-05;7;Tirol;571724;;571724;139880
2021-06-05;8;Vorarlberg;531652;;531652;114163
2021-06-05;9;Wien;2162863;;2162863;724890
2021-06-05;10;Österreich;7098528;;7098528;3909840
2021-06-06;1;Burgenland;441583;;441583;295088
2021-06-06;2;Kärnten;369145;;369145;164608
2021-06-06;3;Niederösterreich;824238;;824238;937836
2021-06-06;4;Oberösterreich;667500;;667500;574003
2021-06-06;5;Salzburg;462628;;462628;201264
2021-06-06;6;Steiermark;1103378;;1103378;768665
2021-06-06;7;Tirol;576662;;576662;140462
2021-06-06;8;Vorarlberg;539324;;539324;114380
