"Stamp","Date","RegionID","Region","Population","newConfirmed","rmaConfirmed","newConfPop","newRecovered","newDeaths","sumConfirmed","sumRecovered","sumDeaths"
2020-08-31,2020-08-31,803,"Dornbirn",89912,2,14,2.22439718836195,0.428571428571429,0,196,176,4
2020-08-31,2020-08-31,405,"Eferding",33178,0.571428571428571,4,1.72231168674595,1.57142857142857,0,104,92,6
2020-08-31,2020-08-31,103,"Eisenstadt-Umgebung",43236,1.85714285714286,13,4.29536233033319,0.571428571428571,0,56,39,1
2020-08-31,2020-08-31,101,"Eisenstadt(Stadt)",14816,0.571428571428571,4,3.85683431039803,0.285714285714286,0,25,21,0
2020-08-31,2020-08-31,804,"Feldkirch",108133,0.857142857142857,6,0.792674629523695,1,0,255,246,2
2020-08-31,2020-08-31,210,"Feldkirchen",29902,0.571428571428571,4,1.91100451952569,0.285714285714286,0,23,18,1
2020-08-31,2020-08-31,406,"Freistadt",66861,1.71428571428571,12,2.56395464364235,0.571428571428571,0,160,142,6
2020-08-31,2020-08-31,308,"Gänserndorf",104782,3.28571428571429,23,3.13576214017129,3.14285714285714,0,200,162,5
2020-08-31,2020-08-31,309,"Gmünd",36553,0,0,0,0,0,17,17,0
2020-08-31,2020-08-31,407,"Gmunden",101859,1.57142857142857,11,1.54274886993645,1.85714285714286,0,171,150,2
2020-08-31,2020-08-31,606,"Graz-Umgebung",156070,2.28571428571429,16,1.46454429788831,2.42857142857143,0,324,265,36
2020-08-31,2020-08-31,601,"Graz(Stadt)",291072,14.1428571428571,99,4.85888616660384,10,0,809,636,39
2020-08-31,2020-08-31,408,"Grieskirchen",64875,0.857142857142857,6,1.32122213047069,0.714285714285714,0,111,100,1
2020-08-31,2020-08-31,104,"Güssing",25699,0,0,0,0.142857142857143,0,34,33,0
2020-08-31,2020-08-31,502,"Hallein",60824,0.428571428571429,3,0.704609082880818,1,0,104,95,1
2020-08-31,2020-08-31,622,"Hartberg-Fürstenfeld",90606,0.714285714285714,5,0.788342620009397,0.714285714285714,0,335,289,38
