Stamp,Status,Region,Count
2020-03-26 15:00:00,Confirmed,Reutte,26
2020-03-26 15:00:00,Confirmed,Ried_im_Innkreis,21
2020-03-26 15:00:00,Confirmed,Rohrbach,81
2020-03-26 15:00:00,Confirmed,Salzburg_Stadt,88
2020-03-26 15:00:00,Confirmed,Salzburg-Umgebung,98
2020-03-26 15:00:00,Confirmed,Sankt_Johann_im_Pongau,262
2020-03-26 15:00:00,Confirmed,Sankt_Pölten_Land,84
2020-03-26 15:00:00,Confirmed,Sankt_Pölten_Stadt,29
2020-03-26 15:00:00,Confirmed,Sankt_Veit_an_der_Glan,17
2020-03-26 15:00:00,Confirmed,Schärding,32
2020-03-26 15:00:00,Confirmed,Scheibbs,18
2020-03-26 15:00:00,Confirmed,Schwaz,134
2020-03-26 15:00:00,Confirmed,Spittal_an_der_Drau,16
2020-03-26 15:00:00,Confirmed,Steyr_Stadt,12
2020-03-26 15:00:00,Confirmed,Steyr-Land,67
2020-03-26 15:00:00,Confirmed,Südoststeiermark,31
2020-03-26 15:00:00,Confirmed,Tamsweg,12
2020-03-26 15:00:00,Confirmed,Tulln,82
2020-03-26 15:00:00,Confirmed,Urfahr-Umgebung,152
2020-03-26 15:00:00,Confirmed,Villach_Land,22
2020-03-26 15:00:00,Confirmed,Villach_Stadt,13
2020-03-26 15:00:00,Confirmed,Vöcklabruck,76
2020-03-26 15:00:00,Confirmed,Voitsberg,44
2020-03-26 15:00:00,Confirmed,Völkermarkt,34
2020-03-26 15:00:00,Confirmed,Waidhofen_an_der_Thaya,5
2020-03-26 15:00:00,Confirmed,Waidhofen_an_der_Ybbs_Stadt,11
2020-03-26 15:00:00,Confirmed,Weiz,69
2020-03-26 15:00:00,Confirmed,Wels_Stadt,42
2020-03-26 15:00:00,Confirmed,Wels-Land,53
2020-03-26 15:00:00,Confirmed,Wien_Stadt,914
2020-03-26 15:00:00,Confirmed,Wiener_Neustadt_Land,13
2020-03-26 15:00:00,Confirmed,Wiener_Neustadt_Stadt,17
2020-03-26 15:00:00,Confirmed,Wolfsberg,15
2020-03-26 15:00:00,Confirmed,Zell_am_See,182
2020-03-26 15:00:00,Confirmed,Zwettl,14
2020-03-27 11:00:00,Confirmed,Amstetten,131
2020-03-27 11:00:00,Confirmed,Baden,60
2020-03-27 11:00:00,Confirmed,Bludenz,140
2020-03-27 11:00:00,Confirmed,Braunau_am_Inn,31
2020-03-27 11:00:00,Confirmed,Bregenz,120
2020-03-27 11:00:00,Confirmed,Bruck_an_der_Leitha,32
2020-03-27 11:00:00,Confirmed,Bruck-Mürzzuschlag,26
2020-03-27 11:00:00,Confirmed,Deutschlandsberg,15
2020-03-27 11:00:00,Confirmed,Dornbirn,76
2020-03-27 11:00:00,Confirmed,Eferding,22
2020-03-27 11:00:00,Confirmed,Eisenstadt_Stadt,8
2020-03-27 11:00:00,Confirmed,Eisenstadt-Umgebung,11
2020-03-27 11:00:00,Confirmed,Feldkirch,137
2020-03-27 11:00:00,Confirmed,Feldkirchen,7
2020-03-27 11:00:00,Confirmed,Freistadt,60
2020-03-27 11:00:00,Confirmed,Gänserndorf,37
2020-03-27 11:00:00,Confirmed,Gmünd,4
2020-03-27 11:00:00,Confirmed,Gmunden,35
2020-03-27 11:00:00,Confirmed,Graz_Stadt,177
2020-03-27 11:00:00,Confirmed,Graz-Umgebung,73
2020-03-27 11:00:00,Confirmed,Grieskirchen,23
