country,state,county,cases,deaths,recovered,tested,tests,public_tests,private_tests,hospitalized,presumed_cases,monitoring,Attribution,AttributionURL,publication_date,scrape_date,source_links
Austria,ALL,Urfahr-Umgebung,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Villach_Land,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Villach_Stadt,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Vöcklabruck,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Voitsberg,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Völkermarkt,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Waidhofen_an_der_Thaya,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Waidhofen_an_der_Ybbs_Stadt,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Weiz,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Wels_Stadt,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Wels-Land,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Wien_Stadt,1020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Wiener_Neustadt_Land,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Wiener_Neustadt_Stadt,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Wolfsberg,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Zell_am_See,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Zwettl,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
